Date,Event Name,Location,Event URL
2025-07-15,Web3 Summit Manila 2025,SMX Convention Center Manila,https://web3summitmanila.com
2025-07-20,AI Hackathon: Building the Future,Makati Innovation Hub,https://aihackathon.ph
2025-08-01,Marketing Workshop for Startups,Online via Zoom,https://marketingworkshop.ph
2025-08-10,Virtual Pitch Night for Early-Stage Founders,Online via Zoom,https://pitchnight.ph
2025-08-15,Funding Panel: Meet the VCs,Shangri-La The Fort,https://fundingpanel.ph
2025-09-01,Design Conference: UX/UI Trends,Glorietta Activity Center,https://designconf.ph
2025-09-10,Product Management Meetup,Common Ground BGC,https://productmeetup.ph
2025-09-20,Tech Conference 2025,SMX Convention Center Manila,https://techconf2025.ph
2025-10-01,Business Networking Breakfast,Shangri-La The Fort,https://networkingbreakfast.ph
2025-10-15,Health Tech Innovation Summit,Philippine International Convention Center,https://healthtechsummit.ph
